summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_precinct,issuer_precinct,issuer_code,violation_time,violation_county,street_name,intersecting_street,date_first_observed,law_section,sub_division,violation_legal_code,vehicle_color,vehicle_year,feet_from_curb,violation_description,lat_long,lat,long,issue_dt
4895140891,LCM8254,NY,PAS,2024-04-27T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0916P,"Brooklyn, New York",NB 26TH AVE @ HARWAY,AVE,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5914387,-73.9903645",40.5914387,-73.9903645,2024-04-27
4895143922,LCM8254,NY,PAS,2024-04-28T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0106A,"Brooklyn, New York",EB NEPTUNE AVE @ SHE,EPSHEAD BAY RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.579678,-73.9770453",40.579678,-73.9770453,2024-04-28
4895283811,LCM8254,NY,PAS,2024-04-27T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0923P,"Brooklyn, New York",SB OCEAN PKWY @ OCEA,N CT,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5903275,-73.9655995",40.5903275,-73.9655995,2024-04-27
4895363752,LCM8254,NY,PAS,2024-04-30T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1006P,"Brooklyn, New York",EB 65TH ST @ 18TH AV,E,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6191407,-73.9901771",40.6191407,-73.9901771,2024-04-30
4895366820,LCM8254,NY,PAS,2024-04-30T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1156P,"Brooklyn, New York",EB NEPTUNE AVE @ SHE,EPSHEAD BAY RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.579678,-73.9770453",40.579678,-73.9770453,2024-04-30
4895609250,LCM8254,NY,PAS,2024-04-28T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0441P,"Brooklyn, New York",NB CONEY ISLAND AVE,@ DUNNE CT,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.59018469999999,-73.96049599999999",40.59018469999999,-73.96049599999999,2024-04-28
4895629673,LCM8254,NY,PAS,2024-04-28T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0358P,"Brooklyn, New York",SB OCEAN PKWY @ KING,S HWY,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.605641,-73.9670257",40.605641,-73.9670257,2024-04-28
4895682997,LCM8254,NY,PAS,2024-04-30T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1033P,"Brooklyn, New York",SB OCEAN PKWY @ OCEA,N CT,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5903275,-73.9655995",40.5903275,-73.9655995,2024-04-30
4895684167,LCM8254,NY,PAS,2024-04-30T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1149P,"Brooklyn, New York",WB AVE Z @ HUBBARD S,T,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5870253,-73.9629717",40.5870253,-73.9629717,2024-04-30
4896136937,LCM8254,NY,PAS,2024-05-01T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1233A,"Brooklyn, New York",NB OCEAN PKWY @ PARK,WAY CT,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5896807,-73.9651801",40.5896807,-73.9651801,2024-05-01
4896307343,LCM8254,NY,PAS,2024-05-06T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0846P,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE U,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5984524,-73.9613486",40.5984524,-73.9613486,2024-05-06
4896338029,LCM8254,NY,PAS,2024-05-02T00:00:00.000,36,4DSD,AUDI,V,10610,40404,40404,0.00000000,0,0,0,0408P,"Brooklyn, New York",SB 7TH AVE @ 92ND ST,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6146354,-74.022858",40.6146354,-74.022858,2024-05-02
