index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,school_zone_school_hour_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
4481699,KTW9133,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,28998,0.01371601445673032,0.006081548407229491,1,0.0
4545592,KUY3620,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,29998,0.014189013093075253,0.0062912642045752434,1,0.0
4553664,KVC4544,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,30998,0.014662011729420185,0.006500980001920996,1,0.0
4551531,KVB1978,PA,PAS,36,1,0,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,31998,0.015135010365765115,0.00671069579926675,1,0.0
4520278,KUR2810,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,32998,0.015608009002110047,0.006920411596612503,1,1.0
4527565,KUT8610,NY,PAS,36,1,0,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,33998,0.016081007638454978,0.007130127393958256,1,0.0
4526868,KUT7334,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,34998,0.016554006274799908,0.007339843191304009,1,0.0
4399679,KSY6610,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,35998,0.017027004911144842,0.0075495589886497615,1,0.0
4414488,KTC4506,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,36998,0.017500003547489772,0.007759274785995514,1,0.0
4411145,KTB6165,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,37997,0.017972529185198358,0.007968780867543922,1,0.0
4379453,KSS3224,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,38996,0.018445054822906946,0.008178286949092329,1,0.0
4396963,KSX9039,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,39996,0.018918053459251877,0.008388002746438082,1,0.0
4390136,KSV4734,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,40996,0.019391052095596807,0.008597718543783835,1,0.0
4445555,KTL3755,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,41996,0.01986405073194174,0.008807434341129588,1,0.0
4464559,KTS5661,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,42996,0.02033704936828667,0.00901715013847534,1,0.0
4458102,KTP9076,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,43996,0.020810048004631602,0.009226865935821093,1,0.0
4418818,KTD4177,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,44996,0.021283046640976536,0.009436581733166846,1,0.0
4441908,KTK8652,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,45996,0.021756045277321466,0.0096462975305126,1,0.0
3987579,KLD2757,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,46996,0.022229043913666396,0.009856013327858354,1,1.0
3981577,KLB7379,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,47996,0.022702042550011327,0.010065729125204106,1,0.0
4000967,KLG9353,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,48995,0.023174568187719916,0.010275235206752513,1,0.0
3966930,KKX7513,NC,PAS,36,1,0,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,49995,0.023647566824064846,0.010484951004098266,1,0.0
3962521,KKV2733,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,50995,0.024120565460409776,0.010694666801444019,1,0.0
3977534,KLA7654,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,51993,0.02459261809948202,0.01090396316719508,1,0.0
4032171,KLV3846,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,52993,0.02506561673582695,0.011113678964540833,1,0.0
4028531,KLT9524,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,53993,0.02553861537217188,0.011323394761886587,1,0.0
4043161,KLZ7305,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,54993,0.026011614008516815,0.01153311055923234,1,0.0
4007934,KLJ8062,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,55993,0.026484612644861745,0.011742826356578093,1,0.0
4007570,KLJ7368,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,56993,0.026957611281206675,0.011952542153923846,1,0.0
4015060,KLM2748,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,57993,0.02743060991755161,0.012162257951269599,1,0.0
3906413,KKA0209,PA,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,58993,0.02790360855389654,0.012371973748615352,1,0.0
3903748,KJZ2478,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,59993,0.02837660719024147,0.012581689545961105,1,0.0
3912646,KKB5995,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,60993,0.0288496058265864,0.012791405343306857,1,0.0
3887708,KJN8655,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,61992,0.02932213146429499,0.013000911424855264,1,0.0
3884798,KJM9123,NY,PAS,36,1,0,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,62992,0.02979513010063992,0.013210627222201017,1,0.0
3892152,KJS2695,NY,PAS,36,1,0,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,63992,0.03026812873698485,0.01342034301954677,1,0.0
